sat_id,system,prn,azimuth_start_deg,elevation_start_deg,azimuth_end_deg,elevation_end_deg,delta_azimuth_deg,delta_elevation_deg,angular_shift_deg,visibility_class
C01,BeiDou,1,144.940140842499,36.4222311239129,144.556021287135,36.963902738752,-0.384119555363611,0.541671614839032,0.62311596286668,common
C02,BeiDou,2,226.143982126562,27.8769029793499,225.75174677136,27.4787462070841,-0.39223535520162,-0.398156772265821,0.528376844403869,common
C03,BeiDou,3,193.791206477538,40.4414663985256,193.781906563963,40.6273494704361,-0.00929991357469362,0.185883071910531,0.186017402566639,common
C04,BeiDou,4,128.263445539162,26.7167880823043,127.664979666432,27.3828374508593,-0.59846587273023,0.66604936855504,0.853056355901683,common
C05,BeiDou,5,248.678114368494,11.2768571098931,248.094251360832,10.7971676761554,-0.583863007661989,-0.479689433737652,0.747329733562828,common
C06,BeiDou,6,169.207868805219,84.3979245008998,183.993383582195,77.8261476641274,14.7855147769754,-6.57177683677243,6.90463279923382,common
C07,BeiDou,7,241.159365277131,64.1498550764723,254.499223503421,66.1502478450206,13.3398582262901,2.00039276854825,5.93835941695474,common
C09,BeiDou,9,311.167333846806,76.9754431310096,285.2313859793,79.0088799937338,-25.9359478675062,2.03343686272413,5.7074209128143,common
C10,BeiDou,10,240.07132263708,48.7660259028624,249.513363694426,50.8208945711499,9.44204105734582,2.05486866828745,6.42689100946558,common
C11,BeiDou,11,72.5279721218669,63.1342273428575,53.2482509248455,54.8540240232517,-19.2797211970214,-8.28020331960587,12.8421106276814,common
C12,BeiDou,12,40.0007038488761,15.4910222784539,39.1955498511074,5.31783382539826,-0.805153997768628,-10.1731884530556,10.203875598378,common
C16,BeiDou,16,159.417948756431,84.0262942277665,179.548843117332,77.6512164175069,20.1308943609008,-6.3750778102596,7.04197666843087,common
C23,BeiDou,23,328.597894235386,64.436339828731,340.125996465985,76.3580153431235,11.5281022305986,11.9216755143925,12.4783314394532,common
C25,BeiDou,25,104.298508581701,56.7402734467387,119.865819865054,47.1187216738531,15.5673112833534,-9.62155177288566,13.5311871323493,common
C28,BeiDou,28,206.386776375561,18.9633038232933,210.801525205492,30.8253900209509,4.41474882993177,11.8620861976576,12.5159765913948,common
C34,BeiDou,34,50.0722688709258,39.7023083999749,45.605001757518,29.2471363621102,-4.46726711340779,-10.4551720378647,11.0806010904531,common
C37,BeiDou,37,306.968984264072,15.7499045830938,311.470033569388,25.6442653992118,4.50104930531558,9.89436081611799,10.750025808553,common
C39,BeiDou,39,153.43642645435,69.0364610901,166.036298787286,63.185166647515,12.5998723329366,-5.85129444258499,7.73421675845232,common
C40,BeiDou,40,238.133449063876,72.4681184959734,261.35305592769,73.9936479529789,23.2196068638137,1.5255294570055,6.82323610472949,common
C43,BeiDou,43,160.638437431094,71.7652213525373,112.006804740078,80.6164473476269,-48.6316326910166,8.85122599508959,13.8822397113487,common
C59,BeiDou,59,150.975112118705,37.7551272316461,150.75001402465,38.1028993355908,-0.225098094055056,0.347772103944777,0.390473565674186,common
C60,BeiDou,60,229.733315756187,25.1663962814292,229.489035338612,24.9882969023551,-0.244280417574601,-0.178099379074105,0.284029047752095,common
E03,Galileo,3,301.836953441762,23.8363963907874,290.331747740673,24.1963156064368,-11.5052057010887,0.359919215649334,10.5123933586096,common
E05,Galileo,5,243.181072266061,36.0993507957965,233.519950684528,27.3728213292492,-9.66112158153319,-8.72652946654734,11.9724519416334,common
E09,Galileo,9,191.358997604546,14.0054991692637,187.468181082735,4.58443745459981,-3.89081652181039,-9.4210617146639,10.1717190654901,common
E10,Galileo,10,143.228293077891,33.1731133750108,135.390369916946,44.0866991629125,-7.83792316094488,10.9135857879017,12.4997087328386,common
E11,Galileo,11,168.025806816244,17.1876021352556,165.18269259922,28.3293182126714,-2.84311421702381,11.1417160774158,11.4445666407664,common
E12,Galileo,12,113.719988375524,40.3488971742001,99.2261232484841,47.098315786179,-14.4938651270399,6.74941861197881,12.4303483197068,common
E25,Galileo,25,291.238292050294,33.4997901972843,301.674894254894,40.1382139922021,10.4366022046,6.6384237949178,10.6580022477436,common
E31,Galileo,31,74.1758686495729,29.5222939881519,84.3599855232082,23.2653596661314,10.1841168736354,-6.25693432202047,11.0536076690386,common
E33,Galileo,33,51.2689955858901,23.6062151627185,42.0244959841807,18.7617323950538,-9.24449960170935,-4.84448276766478,9.88355388964359,common
G01,GPS,1,180.881654935049,10.5966687033255,177.620858757748,23.1570832535623,-3.26079617730105,12.5604145502369,12.9402696213643,common
G02,GPS,2,162.744094189024,38.3307645185855,153.935948113162,52.5011133019204,-8.80814607586132,14.1703487833349,15.4333833996887,common
G04,GPS,4,207.356996904332,16.4109699405117,199.855642502722,5.88861302562825,-7.50135440161,-10.5223569148835,12.8340594479832,common
G07,GPS,7,310.699831760305,44.5970143678153,299.499869239052,55.3569287713489,-11.1999625212534,10.7599144035335,12.9133446750159,common
G08,GPS,8,332.725686665226,81.2319677281602,18.0715633993909,70.4440737850543,45.3458767341647,-10.7878939431059,14.7234502633552,common
G09,GPS,9,241.061703374108,24.3979465631701,230.148751426663,15.2287024767268,-10.9129519474453,-9.16924408644332,13.7526357717547,common
G16,GPS,16,75.5289324392411,33.2505831120815,87.5659630691196,24.6862391264592,12.0370306298785,-8.56434398562227,13.5557272369833,common
G27,GPS,27,41.4751921749809,52.3215536815787,45.9401634214506,39.349524483653,4.46497124646967,-12.9720291979257,13.3332266704245,common
G30,GPS,30,315.871114225485,16.8304272407389,313.076950147603,27.9860482599886,-2.79416407788233,11.1556210192498,11.4493941662454,common
J02,QZSS,2,71.2281829448801,68.6509551824396,73.3951646858009,67.9565106307885,2.16698174092079,-0.694444551651117,1.06009289502989,common
J03,QZSS,3,139.923079786983,38.8623226544958,138.304345228803,44.55314259822,-1.61873455817982,5.69081994372415,5.81736274420801,common
J04,QZSS,4,176.690791642845,11.9072892993498,174.572865590569,9.37104631226858,-2.11792605227575,-2.53624298708126,3.28092130612897,common
J07,QZSS,7,168.084078542637,47.7971767473582,168.083144103141,47.7877749550895,-0.000934439496887762,-0.00940179226869731,0.009422727695243,common
J08,QZSS,8,224.11530306443,38.0790948276611,224.116231241736,38.0857226304834,0.000928177305695499,0.00662780282222286,0.00666794824030099,common
R05,GLONASS,5,295.021669674052,14.9462891545334,280.665239691945,8.8769052005459,-14.3564299821076,-6.06938395398749,15.2941241853062,common
R06,GLONASS,6,341.024363427504,1.83260068699633,327.748979991675,4.23210323184708,-13.275383435829,2.39950254485075,13.4711581799817,common
R13,GLONASS,13,97.7282924648508,29.6521405491911,112.512402615559,20.2296592602,14.7841101507083,-9.42248128899109,16.3597070248805,common
R14,GLONASS,14,13.8945961196384,60.124291456179,49.6837825137986,64.6051979194986,35.7891863941602,4.48090646331956,16.9407909967514,common
R15,GLONASS,15,316.592767508527,23.1294782499385,326.890363770129,34.8436647204271,10.2975962616025,11.7141864704886,14.7568372087087,common
R17,GLONASS,17,186.585700385426,29.0214422237461,190.295209381764,45.9099254535268,3.70950899633783,16.8884832297807,17.1380980996244,common
R23,GLONASS,23,30.5839515668123,21.8599485900877,27.2664863829992,8.44933373394321,-3.31746518381311,-13.4106148561445,13.7855217320079,common
R24,GLONASS,24,111.656726369445,70.3295215593278,58.9257809676466,68.5833548029267,-52.7309454017986,-1.7461667564011,18.0004745835348,common
G10,GPS,10,NaN,NaN,74.400843870426,1.21104684595573,NaN,NaN,NaN,end_only
G14,GPS,14,NaN,NaN,290.002620253646,2.6077359128766,NaN,NaN,NaN,end_only
R18,GLONASS,18,NaN,NaN,200.61610707399,1.57864977941797,NaN,NaN,NaN,end_only
C20,BeiDou,20,311.55603579635,0.189664575187336,NaN,NaN,NaN,NaN,NaN,start_only
C24,BeiDou,24,119.161219825853,2.29065140866484,NaN,NaN,NaN,NaN,NaN,start_only
C32,BeiDou,32,261.574224368151,3.39216574510125,NaN,NaN,NaN,NaN,NaN,start_only
E14,Galileo,14,53.7749593859786,8.83136998799334,NaN,NaN,NaN,NaN,NaN,start_only
G26,GPS,26,97.5851843278581,7.74188913173984,NaN,NaN,NaN,NaN,NaN,start_only
G31,GPS,31,142.15193411124,0.973239129435446,NaN,NaN,NaN,NaN,NaN,start_only
R04,GLONASS,4,247.668515053882,10.0570538203373,NaN,NaN,NaN,NaN,NaN,start_only
