candidate_offset_m,satellite_count,p05_delta_range_m,p25_delta_range_m,median_delta_range_m,p75_delta_range_m,p95_delta_range_m
0,60,0,0,0,0,0
5,60,-4.19192047547549,-2.39713935740292,-0.137162543833256,2.76884625293314,4.38628472220153
10,60,-8.38384067453444,-4.79427787475288,-0.274324379861355,5.5376929808408,8.77256969437003
15,60,-12.5757605822757,-7.19141556695104,-0.411485526710749,8.30654015205801,13.1588549124077
20,60,-16.767680195719,-9.58855241816491,-0.548645973205566,11.0753877963871,17.545140376687
25,60,-20.9595995254815,-11.9856884507462,-0.685805723071098,13.8442358858883,21.9314260944724
30,60,-25.1515185713768,-14.3828236469999,-0.822964776307344,16.6130844429135,26.3177120581269
35,60,-29.3434373015538,-16.7799580069259,-0.960123132914305,19.3819334413856,30.7039982749149
40,60,-33.5353557549417,-19.1770915389061,-1.0972807854414,22.1507829129696,35.0902847345918
45,60,-37.7272739354521,-21.5742242336273,-1.2344377450645,24.9196328483522,39.476571450755
50,60,-41.9191918283701,-23.9713561087847,-1.37159400805831,27.6884832382202,43.8628584098071
55,60,-46.1111094160005,-26.3684871401638,-1.50874957069755,30.4573340713978,48.2491456180811
60,60,-50.3030267305672,-28.7656173482537,-1.64590443298221,33.2261853627861,52.6354330798611
65,60,-54.494943754375,-31.1627467293292,-1.78305860236287,35.9950371310115,57.0217207878828
70,60,-58.6868604695424,-33.5598752647638,-1.92021207138896,38.7638893332332,61.4080087417737
75,60,-62.8787769008428,-35.9570029778406,-2.05736484006047,41.5327420197427,65.7942969493568
80,60,-67.0706930553541,-38.3541298490018,-2.19451691582799,44.3015951551497,70.1805853990838
85,60,-71.2626089226455,-40.7512559015304,-2.33166829496622,47.0704487524927,74.5668741093948
90,60,-75.4545244811103,-43.1483811121434,-2.46881897002459,49.8393027875572,78.953163058497
95,60,-79.6464397666976,-45.5455055031925,-2.60596895590425,52.6081573106349,83.3394522650167
100,60,-83.8383547822013,-47.9426290476695,-2.74311823770404,55.3770122677088,87.725741709955
105,60,-88.0302694929764,-50.3397517707199,-2.88026682659984,58.1458676774055,92.1120314080268
110,60,-92.2221839092672,-52.7368736658245,-3.01741471141577,60.9147235732526,96.4983213599771
115,60,-96.4140980310738,-55.1339947180822,-3.15456189960241,63.6835799049586,100.88461155761
120,60,-100.606011872366,-57.5311149470508,-3.29170839488506,66.4524367153645,105.270902001299
125,60,-104.797925415821,-59.9282343350351,-3.42885418608785,69.2212939634919,109.657192698494
130,60,-108.989838686213,-62.3253529062495,-3.56599928438663,71.9901516605169,114.043483641557
135,60,-113.181751655228,-64.7224706336856,-3.70314368978143,74.7590098381042,118.429774838127
140,60,-117.373664336465,-67.119587530382,-3.84028737992048,77.5278684664518,122.816066273488
145,60,-121.565576758981,-69.5167036037892,-3.97743038833141,80.2967275623232,127.202357965894
150,60,-125.757488855161,-71.9138188352808,-4.11457269266248,83.0655871070921,131.588649904355
155,60,-129.949400685169,-74.310933245346,-4.25171430781484,85.8344471175224,135.97494209595
160,60,-134.141312213615,-76.7080468153581,-4.38885521516204,88.6033075787127,140.361234537512
165,60,-138.33322345838,-79.1051595592871,-4.52599542960525,91.3721684999764,144.747527221404
170,60,-142.525134412013,-81.5022714659572,-4.66313493996859,94.1410298738629,149.133820155077
175,60,-146.717045071349,-83.899382549338,-4.80027375742793,96.909891711548,153.520113342069
180,60,-150.908955439739,-86.2964927945286,-4.93741188198328,99.6787540037185,157.906406774931
185,60,-155.100865542144,-88.6936022080481,-5.07454929873347,102.44761676155,162.292700461298
190,60,-159.292775335722,-91.0907107936218,-5.21168602630496,105.216479981318,166.678994389996
195,60,-163.484684852697,-93.4878185437992,-5.34882204607129,107.985343642533,171.065288568474
200,60,-167.676594071649,-95.8849254669622,-5.48595737665892,110.754207763821,175.451583000272
205,60,-171.868503014185,-98.2820315519348,-5.62309201061726,113.523072348908,179.837877681851
210,60,-176.060411647521,-100.679136812687,-5.76022594794631,116.291937392205,184.22417260576
215,60,-180.252319997363,-103.076241239905,-5.89735917747021,119.06080289185,188.610467783175
220,60,-184.444228070416,-105.473344828933,-6.03449171409011,121.829668855295,192.996763206646
225,60,-188.636135852709,-107.870447594672,-6.17162355780602,124.598535271361,197.383058883063
230,60,-192.828043354489,-110.267549522221,-6.30875469371676,127.367402151227,201.769354806095
235,60,-197.019950554706,-112.664650622755,-6.44588513299823,130.136269493029,206.155650978349
240,60,-201.211857464164,-115.061750887893,-6.58301488682628,132.905137276277,210.541947397031
245,60,-205.403764082678,-117.458850323223,-6.72014394029975,135.674005512148,214.928244065121
250,60,-209.595670417696,-119.8559489334,-6.85727228969336,138.442874230444,219.314540986903
255,60,-213.787576461397,-122.253046702594,-6.99439994245768,141.211743388325,223.700838150829
260,60,-217.979482228495,-124.650143644772,-7.13152689859271,143.980613024905,228.087135568261
265,60,-222.17138769757,-127.047239750624,-7.26865315437317,146.74948310107,232.473433235288
270,60,-226.363292875886,-129.444335034117,-7.40577871352434,149.518353637308,236.859731155634
275,60,-230.555197777413,-131.841429475695,-7.54290357977152,152.287224633619,241.246029314958
280,60,-234.747102384269,-134.238523093984,-7.68002774193883,155.056096078828,245.632327727601
285,60,-238.939006679319,-136.635615877807,-7.81715121120214,157.824968008325,250.018626389839
290,60,-243.130910711549,-139.032707825303,-7.95427398011088,160.593840371817,254.404925298132
295,60,-247.322814452648,-141.42979894951,-8.09139604866505,163.36271321401,258.791224459931
300,60,-251.5147179069,-143.826889234595,-8.2285174280405,166.131586492062,263.177523867786
305,60,-255.706621062942,-146.22397869546,-8.36563809961081,168.900460252538,267.563823525049
310,60,-259.898523945734,-148.621067316271,-8.5027580820024,171.669334441423,271.950123432279
315,60,-264.090426530689,-151.018155112863,-8.63987736403942,174.438209105283,276.336423588917
320,60,-268.28232882116,-153.415242067538,-8.77699594199657,177.207084225491,280.722723991796
325,60,-272.474230810069,-155.812328200787,-8.91411383077502,179.975959807634,285.109024644457
330,60,-276.666132536344,-158.209413505159,-9.05123102664948,182.744835842401,289.495325543173
335,60,-280.858033971861,-160.606497968547,-9.18834750726819,185.513712335378,293.881626695208
340,60,-285.049935087934,-163.003581606783,-9.32546330243349,188.282589294016,298.267928093485
345,60,-289.241835962795,-165.40066440776,-9.46257839724422,191.05146670714,302.654229744896
350,60,-293.433736525476,-167.797746380791,-9.59969278797507,193.820344574749,307.040531638823
355,60,-297.625636797398,-170.194827518426,-9.73680649325252,196.589222902432,311.42683378607
360,60,-301.817536774837,-172.591907830909,-9.8739194907248,199.358101686463,315.813136183098
365,60,-306.009436468408,-174.988987312652,-10.0110317952931,202.126980932429,320.199438829534
370,60,-310.20133588165,-177.386065953411,-10.1481433995068,204.895860629156,324.585741722211
375,60,-314.393234993517,-179.78314376995,-10.2852543070912,207.664740787819,328.972044864669
380,60,-318.585133817978,-182.180220749229,-10.4223645217717,210.433621406555,333.358348256908
385,60,-322.777032386884,-184.577296901494,-10.5594740286469,213.202502477914,337.744651898742
390,60,-326.968930640072,-186.9743722165,-10.6965828463435,215.971384013072,342.13095578663
395,60,-331.160828580894,-189.371446707286,-10.8336909599602,218.740266000852,346.5172599243
400,60,-335.352726262994,-191.768520367332,-10.9707983732224,221.509148450568,350.903564311564
405,60,-339.544623647071,-194.165593187325,-11.1079050973058,224.278031367809,355.289868948422
410,60,-343.736520757899,-196.562665182166,-11.2450111210346,227.046914720908,359.676173831709
415,60,-347.928417570889,-198.959736338817,-11.3821164518595,229.815798558295,364.06247896459
420,60,-352.120314071514,-201.356806671247,-11.5192210823298,232.584682831541,368.448784347065
425,60,-356.312210309692,-203.753876165487,-11.6563250124454,235.353567572311,372.83508998286
430,60,-360.504106267542,-206.150944833644,-11.7934282422066,238.122452771291,377.221395860985
435,60,-364.696001909673,-208.548012671061,-11.9305307790637,240.89133843407,381.607701989077
440,60,-368.887897275202,-210.945079669356,-12.0676326192915,243.660224545747,385.994008366764
445,60,-373.079792360403,-213.342145846225,-12.2047337554395,246.429111123085,390.38031499777
450,60,-377.271687151119,-215.739211183973,-12.3418341986835,249.19799814932,394.766621875018
455,60,-381.463581633009,-218.136275694706,-12.4789339378476,251.966885633767,399.152928998135
460,60,-385.6554758491,-220.533339365385,-12.6160329841077,254.735773580149,403.539236374758
465,60,-389.847369774245,-222.930402216502,-12.7531313411891,257.504661981016,407.92554399725
470,60,-394.03926342614,-225.327464226633,-12.8902289830148,260.273550862446,412.31185186971
475,60,-398.231156758964,-227.724525409751,-13.0273259393871,263.042440172285,416.698159991577
480,60,-402.423049821891,-230.12158576306,-13.1644221991301,265.811329942197,421.084468363039
485,60,-406.614942586794,-232.518645277247,-13.3015177547932,268.580220187083,425.47077697739
490,60,-410.806835053861,-234.915703965351,-13.438612613827,271.349110880867,429.857085844874
495,60,-414.998727244139,-237.312761815265,-13.5757067762315,274.118002036586,434.243394965678
500,60,-419.190619150549,-239.709818843752,-13.7128002345562,276.886893639341,438.629704328813
